Id,Label,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
1241,FRVR,"Saint Paul's Bay, NA - Malta, Malta",Active,For Profit,,,,,2.0,5.0,"Consumer Electronics, Gaming, Hardware, Mobile, Platforms, Software","Android, Casual Games, Electronics, Gaming, Software, Video Games",3.0,Early Stage Venture,2022-03-17,76000000.0,USD,76000000.0,Series A,Series A,76000000.0,USD,76000000.0,82019375.0,USD,82019375.0,,"3,159,336","6,617,836.17",1.281,,,,"Accel, Makers Fund, David Helgason, Hiro Capital, Paul Heydon"
1242,WestCap,"San Francisco, California, United States",Active,For Profit,41.0,26.0,6.0,3.0,,,"Financial Services, Lending and Investments","Finance, Financial Exchanges, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,,8.27,"4,218.5",51.0,,,,
1243,RockX,"Singapore, Central Region, Singapore",Active,For Profit,1.0,,,,1.0,8.0,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, FinTech",1.0,Early Stage Venture,2022-04-05,6000000.0,USD,6000000.0,Series A,Series A,6000000.0,USD,6000000.0,6000000.0,USD,6000000.0,,1.689,"1,858.17",39.0,,,,"Amber Group, Matrixport, FBG Capital, IMO Ventures, Draper Dragon"
1244,Highland Europe,"Geneva, Geneve, Switzerland",Active,,99.0,56.0,1.0,19.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,2.0,5.07,,55.0,,,,
1245,Habyt,"Berlin, Berlin, Germany",Active,For Profit,,,,,2.0,8.0,"Community and Lifestyle, Health Care, Real Estate","Communities, Coworking, Health Care, Lifestyle, Property Management, Real Estate, Smart Building",6.0,Early Stage Venture,2021-11-01,,,,Secondary Market,Series B,20000000.0,EUR,23825662.0,35373923.0,USD,35373923.0,,57.842,"38,222.83",334.0,,,,"Picus Capital, Hambro Perks Ltd., Inveready, aldeA Ventures, HV Capital"
1246,Krillion Ventures,"Miami, Florida, United States",Active,,27.0,2.0,6.0,7.0,,,"Financial Services, Health Care, Real Estate","Financial Services, FinTech, Health Care, Real Estate, Wellness",,,,,,,,,,,,,,,,,,,,,,
1247,Heliad Equity Partners,"Frankfurt, Hessen, Germany",Active,For Profit,32.0,23.0,1.0,8.0,,1.0,"Biotechnology, Financial Services, Internet Services, Media and Entertainment, Science and Engineering","FinTech, Internet, Life Science, Media and Entertainment",1.0,IPO,2017-05-11,2000000.0,EUR,2172699.0,Post-IPO Equity,Post-IPO Equity,2000000.0,EUR,2172699.0,2000000.0,EUR,2172699.0,,,,,14303150.0,USD,14303150.0,BF Holding GmbH
1248,Quest Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,Alexandre Sabanai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,Lineage Logistics,"Novi, Michigan, United States",Active,For Profit,6.0,,1.0,,2.0,15.0,"Food and Beverage, Transportation","Food Delivery, Food Processing, Logistics, Supply Chain Management, Warehousing",5.0,Private Equity,2022-01-04,1700000000.0,USD,1700000000.0,Private Equity,Private Equity,1700000000.0,USD,1700000000.0,8700000000.0,USD,8700000000.0,,95.318,"104,333.5",982.0,8234887.0,USD,8234887.0,"Morgan Stanley, Stonepeak Infrastructure Partners, Rabobank, D1 Capital Partners, Healthcare of Ontario Pension Plan (HOOPP)"
1251,Chinese Academy Of Sciences,"Beijing, Beijing, China",Active,,5.0,,,1.0,,,"Education, Software","EdTech, Education",,,,,,,,,,,,,,,,,,,,,,
1252,Atlas Venture,"Cambridge, Massachusetts, United States",Active,,568.0,157.0,56.0,171.0,1.0,1.0,"Biotechnology, Financial Services, Health Care, Lending and Investments, Science and Engineering","Biotechnology, Health Care, Pharmaceutical, Venture Capital",1.0,,2015-09-14,,,,Venture - Series Unknown,Venture - Series Unknown,,,,,,,2.0,13.133,"8,275.5",18.0,1231359.0,USD,1231359.0,Renaissance Venture Capital
1253,MassMutual,"Springfield, Massachusetts, United States",Active,For Profit,21.0,10.0,10.0,2.0,,,"Community and Lifestyle, Financial Services, Other","Finance, Financial Services, Insurance, Life Insurance, Retirement",,M&A,,,,,,,,,,,,,2.0,"1,745,089","2,052,234.33",346.0,,,,
1254,Turntide Technologies,"Sunnyvale, California, United States",Active,For Profit,4.0,,,,7.0,16.0,"Energy, Manufacturing, Science and Engineering, Sustainability","CleanTech, Energy, Energy Efficiency, GreenTech, Industrial Automation",11.0,,2021-06-30,225000000.0,USD,225000000.0,Convertible Note,Venture - Series Unknown,80000000.0,USD,80000000.0,433089623.0,USD,433089623.0,1.0,12.072,"15,712.83",204.0,,,,"National Science Foundation, Fifth Wall, FootPrint Coalition, Breakthrough Energy Ventures, BMW i Ventures"
1255,Ethos,"San Francisco, California, United States",Active,For Profit,,,,,5.0,19.0,Financial Services,"Finance, Financial Services, FinTech, Insurance, InsurTech, Life Insurance",7.0,Late Stage Venture,2021-07-21,100000000.0,USD,100000000.0,Series D,Series D,100000000.0,USD,100000000.0,406500000.0,USD,406500000.0,1.0,468.215,152.443,186.0,,,,"Sequoia Capital, General Catalyst, Goldman Sachs, GV, Accel"
1256,Google for Startups,"Mountain View, California, United States",Active,For Profit,98.0,73.0,13.0,3.0,,,"Community and Lifestyle, Education, Internet Services, Professional Services","Business Development, Communities, Education, Internet, Social Entrepreneurship",,,,,,,,,,,,,,,104.0,,,,,,,
1257,GVK Davix Technologies,,Active,For Profit,2.0,,,,,,Information Technology,Information Technology,,,,,,,,,,,,,,,,,,,,,,
1258,Deutsche Bank,"Frankfurt, Hessen, Germany",Active,For Profit,140.0,35.0,2.0,63.0,2.0,3.0,"Financial Services, Lending and Investments","Banking, Finance, Financial Services",4.0,IPO,2020-10-13,,,,Post-IPO Equity,Post-IPO Equity,,,,,,,40.0,"1,887,960","2,364,631.67",882.0,4940975.0,USD,4940975.0,"HNA Group, Capital Group, Cerberus Capital Management"
1259,finleap,"Berlin, Berlin, Germany",Active,For Profit,36.0,7.0,,5.0,3.0,8.0,"Financial Services, Lending and Investments","Asset Management, Banking, Finance, FinTech, Insurance",3.0,,2018-11-19,41500000.0,EUR,47540331.0,Venture - Series Unknown,Venture - Series Unknown,41500000.0,EUR,47540331.0,101500000.0,EUR,115994173.0,,3.401,"12,570.5",0.0,4749783.0,USD,4749783.0,"IONIQ, Hannover Re, SBI Group, MS&AD Ventures, Ping An Global Voyager"
1260,PropertyGuru Group,"Singapore, Central Region, Singapore",Active,For Profit,,,,,6.0,13.0,"Apps, Commerce and Shopping, Internet Services, Mobile, Real Estate, Software","E-Commerce, Mobile Apps, Online Portals, Real Estate, Rental Property",7.0,IPO,2022-03-18,132000000.0,USD,132000000.0,Post-IPO Equity,Post-IPO Equity,132000000.0,USD,132000000.0,676443674.0,USD,676443674.0,,22.9,"13,252.83",114.0,,,,"REA Group, Baillie Gifford, TPG, Emtek Group, Kohlberg Kravis Roberts"
1261,BlackSoil,"Mumbai, Maharashtra, India",Active,For Profit,51.0,35.0,,4.0,,,"Financial Services, Lending and Investments","Banking, Finance, Financial Services, FinTech",5.0,Late Stage Venture,2022-01-04,700000000.0,INR,9391540.0,Debt Financing,Series C,17000000.0,USD,17000000.0,37761097.0,USD,37761097.0,,652,,0.0,,,,
1262,Yahoo,"Dulles, Virginia, United States",Active,For Profit,24.0,6.0,,14.0,2.0,5.0,"Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications","Email, Internet, Online Portals, Search Engine, Social Media",2.0,M&A,1995-11-30,4800000.0,USD,4800000.0,Series B,Series B,4800000.0,USD,4800000.0,6800000.0,USD,6800000.0,29.0,"2,366,519,022","2,533,032,811.17",946.0,,,,"Sequoia Capital, Visa, SoftBank Capital, Randy Adams, Reuters Venture Capital"
1263,Nordic Investment Bank,"Helsinki, Southern Finland, Finland",Active,For Profit,7.0,5.0,,4.0,,,"Financial Services, Lending and Investments","Banking, Finance, Financial Services",,,,,,,,,,,,,,,,3.518,"3,413.67",10.0,4421829.0,USD,4421829.0,
1264,Rock Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,Nreal,"Beijing, Beijing, China",Active,For Profit,,,,,10.0,16.0,"Consumer Electronics, Hardware, Information Technology, Software","Augmented Reality, Information Technology, Virtual Reality, Wearables",7.0,Late Stage Venture,2022-03-30,60000000.0,USD,60000000.0,Series C,Series C,60000000.0,USD,60000000.0,231000000.0,USD,231000000.0,4.0,93.025,"44,866.17",177.0,,,,"CICC, iQiyi, Alibaba Group, Shunwei Capital, Sequoia Capital China"
1266,Ryan Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,HubSpot,"Cambridge, Massachusetts, United States",Active,For Profit,14.0,1.0,1.0,5.0,3.0,12.0,"Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing, Software","Analytics, Marketing, SaaS, Social Media",6.0,IPO,2012-11-05,35000000.0,USD,35000000.0,Series E,Series E,35000000.0,USD,35000000.0,100500000.0,USD,100500000.0,38.0,"58,803,954","46,101,632.83",1.182,,,,"Sequoia Capital, General Catalyst, GV, Matrix Partners, Scale Venture Partners"
1268,Acacia Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,Washington Post,"Washington, District of Columbia, United States",Active,For Profit,21.0,1.0,6.0,8.0,,,"Content and Publishing, Internet Services, Media and Entertainment","Content, Digital Media, Internet, News, Publishing",,,,,,,,,,,,,,,3.0,"186,749,397","182,606,982.83",671.0,,,,
1270,Goldbelly,"New York, New York, United States",Active,For Profit,,,,,4.0,18.0,"Commerce and Shopping, Food and Beverage, Transportation","Delivery Service, E-Commerce, Food and Beverage, Last Mile Transportation",7.0,Late Stage Venture,2021-05-18,100000000.0,USD,100000000.0,Series C,Series C,100000000.0,USD,100000000.0,133120000.0,USD,133120000.0,4.0,"3,450,572","7,848,431.5",351.0,61001.0,USD,61001.0,"500 Startups, FundersClub, Y Combinator, Draper Associates, Global Founders Capital"
1271,JAFCO Asia,"Singapore, Central Region, Singapore",Active,,159.0,42.0,3.0,50.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,,,,,,,
1272,United Ventures,"Milan, Lombardia, Italy",Active,,42.0,21.0,,5.0,,,"Financial Services, Software","Enterprise Software, FinTech",,,,,,,,,,,,,,,,1.892,"1,381.5",11.0,,,,
1273,Caffeinated Capital,"San Francisco, California, United States",Active,,119.0,25.0,32.0,8.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,5.202,"2,974.83",400.0,,,,
1274,Rose Park Advisors,"Boston, Massachusetts, United States",Active,,58.0,13.0,1.0,5.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Hedge Funds, Venture Capital",,,,,,,,,,,,,,,,2.513,,0.0,,,,
1275,European Investment Bank,"Luxembourg, Luxembourg, Luxembourg",Active,For Profit,175.0,132.0,1.0,45.0,,,"Financial Services, Lending and Investments","Banking, Credit, Finance, Financial Services",,,,,,,,,,,,,,,3.0,176.832,"165,736.67",250.0,,,,
1276,Onfido,"London, England, United Kingdom",Active,For Profit,,,,,10.0,36.0,"Financial Services, Information Technology, Privacy and Security, Software","FinTech, Identity Management, Information Technology, Software",16.0,Late Stage Venture,2020-08-18,5000000.0,GBP,6626422.0,Grant,Series D,100000000.0,USD,100000000.0,188762927.0,USD,188762927.0,15.0,"1,092,244","387,028.33",584.0,13642857.0,USD,13642857.0,"Eurazeo, Augmentum Fintech, Fin Venture Capital, Acequia Capital (AceCap), Plug and Play Tech Center"
1277,Randy Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,Brooklyn Bridge Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,Connor Theilmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,Satellogic,"Montevideo, NA - Uruguay, Uruguay",Active,For Profit,,,,,6.0,13.0,"Data and Analytics, Information Technology, Navigation and Mapping, Software","Geospatial, Information Technology, Software",9.0,IPO,2022-01-26,250000000.0,USD,250000000.0,Post-IPO Equity,Post-IPO Equity,250000000.0,USD,250000000.0,373800000.0,USD,373800000.0,,86.549,"65,814.67",656.0,,,,"Tencent, Liberty Strategic Capital, Endeavor Catalyst, SoftBank Capital, Cantor Fitzgerald"
1281,Tanium,"Kirkland, Washington, United States",Active,For Profit,1.0,,,,8.0,17.0,"Information Technology, Privacy and Security, Software","Cyber Security, Enterprise Software, Information Technology, SaaS, Security",16.0,Private Equity,2021-06-30,,,,Secondary Market,Private Equity,150000000.0,USD,150000000.0,1049991919.0,USD,1049991919.0,23.0,470.621,318.676,451.0,39190380.0,USD,39190380.0,"Andreessen Horowitz, T. Rowe Price, Baillie Gifford, TPG, Fidelity Management and Research Company"
1282,Nasuni,"Boston, Massachusetts, United States",Active,For Profit,,,,,9.0,12.0,"Hardware, Information Technology, Internet Services, Software","Cloud Data Services, Cloud Storage, Data Storage, Enterprise Software, File Sharing, Information Technology, SaaS",14.0,,2022-03-24,60000000.0,USD,60000000.0,Venture - Series Unknown,Venture - Series Unknown,60000000.0,USD,60000000.0,247000000.0,USD,247000000.0,7.0,24.603,"12,514.33",44.0,1954536.0,USD,1954536.0,"Goldman Sachs, Flybridge, Silicon Valley Bank, Sixth Street, Dell Technologies Capital"
1283,Sol Global investments,"Calgary, Alberta, Canada",Active,For Profit,10.0,7.0,1.0,4.0,1.0,1.0,"Community and Lifestyle, Food and Beverage, Health Care","Cannabis, Pharmaceutical",3.0,IPO,2019-07-08,50000000.0,USD,50000000.0,Post-IPO Debt,Post-IPO Equity,28753480.0,CAD,22841758.0,73011987.0,USD,73011987.0,,3.069,,1.462,30023.0,USD,30023.0,Aphria
1284,Quona Capital,"Washington, District of Columbia, United States",Active,,100.0,47.0,,4.0,,,"Financial Services, Lending and Investments","FinTech, Impact Investing, Venture Capital",,,,,,,,,,,,,,,,831,"4,129.33",63.0,,,,
1285,Accenture,"Dublin, Dublin, Ireland",Active,For Profit,45.0,16.0,6.0,22.0,1.0,1.0,"Information Technology, Professional Services, Real Estate","Construction, Consulting, Information Technology, Outsourcing",1.0,IPO,2018-10-01,6000000.0,USD,6000000.0,Grant,,,,,6000000.0,USD,6000000.0,363.0,,,,,,,Youth Business International
1286,WME,"Beverly Hills, California, United States",Active,For Profit,29.0,,7.0,12.0,3.0,3.0,"Advertising, Media and Entertainment, Music and Audio, Sales and Marketing, Video","Advertising, Digital Entertainment, Film, Music, Theatre",3.0,Private Equity,2017-08-02,400000000.0,USD,400000000.0,Private Equity,Private Equity,400000000.0,USD,400000000.0,650000000.0,USD,650000000.0,,58.556,"67,507.33",288.0,,,,"SoftBank, Silver Lake, Canada Pension Plan Investment Board"
1287,Bizongo,"Mumbai, Maharashtra, India",Active,For Profit,,,,,10.0,20.0,"Administrative Services, Commerce and Shopping, Other","B2B, E-Commerce, Marketplace, Packaging Services",10.0,Late Stage Venture,2021-12-06,110000000.0,USD,110000000.0,Series D,Series D,110000000.0,USD,110000000.0,240314603.0,USD,240314603.0,,27.924,"33,303.17",638.0,,,,"IDG Capital, B Capital Group, Tiger Global Management, Accel, International Finance Corporation"
1288,Embark,"Boston, Massachusetts, United States",Active,For Profit,,,,,5.0,14.0,"Community and Lifestyle, Health Care","Health Care, Pet, Veterinary",5.0,Early Stage Venture,2021-07-26,75000000.0,USD,75000000.0,Series B,Series B,75000000.0,USD,75000000.0,94300000.0,USD,94300000.0,,"1,903,473","1,152,360.17",813.0,185377.0,USD,185377.0,"Slow Ventures, SoftBank Vision Fund, F-Prime Capital, Founder Collective, Section 32"
1289,Ricardo Schaefer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,New Leaf Venture Partners,"New York, New York, United States",Active,,171.0,42.0,13.0,53.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,2.516,,0.0,154737.0,USD,154737.0,
1291,Broslyn Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,GoTo Group,"Jakarta, Jakarta Raya, Indonesia",Active,For Profit,,,,,1.0,10.0,"Information Technology, Transportation","Delivery Service, Information Technology, Same Day Delivery",1.0,IPO,2021-10-20,1300000000.0,USD,1300000000.0,Private Equity,Private Equity,1300000000.0,USD,1300000000.0,1300000000.0,USD,1300000000.0,,700.84,"122,233.33",512.0,,,,"Tencent, Google, Temasek Holdings, Primavera Capital Group, Abu Dhabi Investment Authority"
1293,Notion Capital,"London, England, United Kingdom",Active,,151.0,48.0,5.0,17.0,,,"Financial Services, Lending and Investments, Software","Finance, Financial Services, FinTech, Software, Venture Capital",,,,,,,,,,,,,,,9.0,7.686,"14,617.33",778.0,,,,
1294,Reforge,"San Francisco, California, United States",Active,For Profit,,,,,2.0,14.0,"Education, Software","E-Learning, Education",2.0,Early Stage Venture,2022-03-03,60000000.0,USD,60000000.0,Series B,Series B,60000000.0,USD,60000000.0,81000000.0,USD,81000000.0,,368.446,"291,835.83",1.503,,,,"Andreessen Horowitz, Insight Partners, NextView Ventures, TCV, Bossa Nova Investimentos"
1295,Bloomberg Beta,"San Francisco, California, United States",Active,For Profit,237.0,29.0,55.0,33.0,,,"Artificial Intelligence, Data and Analytics, Financial Services, Lending and Investments, Software","Machine Learning, Venture Capital",,,,,,,,,,,,,,,1.0,2.033,,0.0,,,,
1296,Thunes,"Singapore, Central Region, Singapore",Active,For Profit,2.0,1.0,,,3.0,5.0,"Financial Services, Mobile, Payments, Software","Financial Services, FinTech, Mobile Payments, Payments",3.0,Early Stage Venture,2021-05-18,60000000.0,USD,60000000.0,Series B,Series B,60000000.0,USD,60000000.0,130000000.0,USD,130000000.0,4.0,10.062,8.918,610.0,,,,"Insight Partners, Checkout.com, GGV Capital, Future Shape, Helios Investment Partners"
1297,Auth0,"Bellevue, Washington, United States",Active,For Profit,,,,,5.0,17.0,"Information Technology, Privacy and Security, Software","Developer APIs, Enterprise Software, Identity Management, Information Technology",10.0,M&A,2020-12-01,,,,Secondary Market,Series F,120000000.0,USD,120000000.0,332275000.0,USD,332275000.0,29.0,"31,529,091","21,456,071.67",374.0,,,,"Bessemer Venture Partners, Silicon Valley Bank, Telstra Ventures, Trinity Ventures, DTCP"
1298,Celsius Network,"London, England, United Kingdom",Active,For Profit,7.0,1.0,,1.0,4.0,8.0,"Financial Services, Lending and Investments, Other, Payments, Software","Blockchain, Consumer Lending, Cryptocurrency, Financial Services, FinTech",8.0,Early Stage Venture,2021-11-24,350000000.0,USD,350000000.0,Series B,Series B,350000000.0,USD,350000000.0,864260000.0,USD,864260000.0,7.0,548.278,"239,343.17",180.0,,,,"gumi Cryptos Capital (gCC), Caisse de Depot et Placement du Quebec, WestCap, Disrupt Ventures, Alpha Sigma Capital"
1299,LaunchDarkly,"Oakland, California, United States",Active,For Profit,,,,,5.0,13.0,"Data and Analytics, Software","Developer Tools, Software, Test and Measurement",8.0,Late Stage Venture,2021-08-10,200000000.0,USD,200000000.0,Series D,Series D,200000000.0,USD,200000000.0,330300000.0,USD,330300000.0,25.0,"11,318,009","2,207,977",725.0,,,,"Insight Partners, Redpoint, Alchemist Accelerator, Vertex Ventures, Bessemer Venture Partners"
1300,K11 Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,Hello Alice,"Houston, Texas, United States",Active,For Profit,,,,,6.0,17.0,"Information Technology, Sales and Marketing","Digital Marketing, Information Services, Information Technology",8.0,,2021-10-21,,,,Corporate Round,Corporate Round,,,,22474997.0,USD,22474997.0,4.0,218.33,"112,100.67",354.0,,,,"Alumni Ventures, QED Investors, Sherpa, Serena Ventures, SVB Capital"
1302,IONIQ,"Berlin, Berlin, Germany",Active,,11.0,2.0,,2.0,,8.0,"Advertising, Data and Analytics, Financial Services, Health Care, Internet Services, Sales and Marketing","Advertising, Big Data, FinTech, Health Care, Internet",2.0,Early Stage Venture,2012-05-07,4000000.0,EUR,5220766.0,Series A,Series A,4000000.0,EUR,5220766.0,5220767.0,USD,5220767.0,3.0,,,,,,,"HV Capital, TEV Ventures, OPIC - Overseas Private Investment Corporation, Holtzbrinck Digital, Heiko Hubertz"
1303,LVenture Group,"Roma, Lazio, Italy",Active,For Profit,132.0,38.0,1.0,7.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,IPO,,,,,,,,,,,,,8.0,3.287,"2,729.83",216.0,12519999.0,USD,12519999.0,
1304,Mandarin Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,Fortress Investment Group,"New York, New York, United States",Active,For Profit,44.0,28.0,3.0,25.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Hedge Funds, Venture Capital",,M&A,,,,,,,,,,,,,,64.906,"94,537.67",338.0,,,,
1306,Snow K.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,Sutter Hill Ventures,"Palo Alto, California, United States",Active,,311.0,91.0,34.0,93.0,,,"Financial Services, Lending and Investments, Professional Services","Business Development, Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,11.127,"5,611.67",72.0,,,,
1308,Longitude Capital,"Menlo Park, California, United States",Active,,103.0,41.0,11.0,33.0,,,"Biotechnology, Financial Services, Lending and Investments, Science and Engineering","Angel Investment, Biotechnology, Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,7.475,,0.0,590797.0,USD,590797.0,
1309,Cadenza Capital Management,"San Francisco, California, United States",Active,For Profit,28.0,5.0,2.0,1.0,,,Financial Services,Financial Services,,,,,,,,,,,,,,,,194,,14.0,,,,
1310,Michael Sherwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,National Australia Bank (NAB),"Docklands, Victoria, Australia",Active,For Profit,21.0,8.0,,9.0,,,"Financial Services, Lending and Investments, Payments","Banking, Finance, Financial Services, FinTech, Lending, Payments",,IPO,,,,,,,,,,,,,6.0,"5,307,401","7,545,794.17",988.0,,,,
1312,New Zealand Growth Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,Hewlett Packard Enterprise,"Houston, Texas, United States",Active,For Profit,31.0,6.0,4.0,3.0,,,"Hardware, Information Technology, Mobile, Privacy and Security, Software","Data Center, Enterprise Software, Information Technology, IT Management, Network Security, Wireless",,IPO,,,,,,,,,,,,,213.0,"9,598,685","8,641,927.83",568.0,854722.0,USD,854722.0,
1314,360 Capital,"Paris, Ile-de-France, France",Active,,167.0,48.0,5.0,42.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,3.0,813,"1,776.17",203.0,,,,
1315,Omnes Capital,"Paris, Ile-de-France, France",Active,,222.0,52.0,1.0,87.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,2.0,3.32,"3,404.67",102.0,,,,
1316,ETS Strategic Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,Blackbird Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318,Axonius,"New York, New York, United States",Active,For Profit,,,,,6.0,19.0,"Financial Services, Information Technology, Privacy and Security","Asset Management, Cloud Security, Cyber Security, Information Technology, Network Security",7.0,Late Stage Venture,2022-03-08,200000000.0,USD,200000000.0,Series E,Series E,200000000.0,USD,200000000.0,665000000.0,USD,665000000.0,4.0,55.177,"32,136.17",239.0,203948.0,USD,203948.0,"Vertex Ventures, Accel, Stripes, Bessemer Venture Partners, Lightspeed Venture Partners"
1319,Forward,"San Francisco, California, United States",Active,For Profit,,,,,2.0,24.0,"Artificial Intelligence, Data and Analytics, Health Care, Other, Science and Engineering, Software","Artificial Intelligence, Health Care, Health Diagnostics, Personal Health, Subscription Service",6.0,Late Stage Venture,2021-03-11,225000000.0,USD,225000000.0,Series D,Series D,225000000.0,USD,225000000.0,225000000.0,USD,225000000.0,,481.71,"275,876.83",845.0,123434.0,USD,123434.0,"SoftBank Vision Fund, Founders Fund, DCVC, Khosla Ventures, SV Angel"
1320,Skystar Capital,"Jakarta, Jakarta Raya, Indonesia",Active,,36.0,10.0,,3.0,,,Financial Services,FinTech,,,,,,,,,,,,,,,,549,,0.0,,,,
1321,Samsung Electronics,"Seoul, Seoul-t'ukpyolsi, South Korea",Active,For Profit,45.0,17.0,2.0,15.0,,1.0,"Consumer Electronics, Hardware, Manufacturing, Mobile","Consumer Electronics, Electronics, Manufacturing, Mobile, Mobile Devices",2.0,M&A,2020-07-07,1050000.0,BRL,195199.0,Seed,Seed,1050000.0,BRL,195199.0,195200.0,USD,195200.0,175.0,"354,059,740","532,450,110.83",535.0,,,,Ashika Soni
1322,CertiK,"New York, New York, United States",Active,For Profit,,,,,10.0,18.0,"Information Technology, Other, Privacy and Security, Software","Blockchain, Cyber Security, Software",8.0,Early Stage Venture,2022-04-22,60000000.0,USD,60000000.0,Series B,Series B,60000000.0,USD,60000000.0,300200000.0,USD,300200000.0,,636.221,"561,431.5",446.0,,,,"Lenovo, Sequoia Capital, Goldman Sachs, IDG Capital, Hillhouse Capital Group"
1323,Evernow,"San Francisco, California, United States",Active,For Profit,,,,,1.0,12.0,"Health Care, Sports","Fitness, Health Care, Wellness",1.0,Early Stage Venture,2022-04-06,28500000.0,USD,28500000.0,Series A,Series A,28500000.0,USD,28500000.0,28500000.0,USD,28500000.0,,93.917,"23,727.5",134.0,,,,"8VC, New Enterprise Associates, Refactor Capital, Coelius Capital, Gwynne Shotwell"
1324,Remote,"San Francisco, California, United States",Active,For Profit,,,,,4.0,24.0,"Administrative Services, Financial Services, Payments, Professional Services","FinTech, Human Resources, Payments, Recruiting",4.0,Late Stage Venture,2022-04-05,300000000.0,USD,300000000.0,Series C,Series C,300000000.0,USD,300000000.0,496000000.0,USD,496000000.0,1.0,496.207,333.577,347.0,,,,"Sequoia Capital, Gaingels, HackerOne, General Catalyst, Liquid 2 Ventures"
1325,FTV Capital,"San Francisco, California, United States",Active,,121.0,91.0,3.0,55.0,,,"Financial Services, Lending and Investments, Payments","Financial Services, Payments, Venture Capital",,,,,,,,,,,,,,,6.0,6.666,"6,547.17",6.0,,,,
1326,Chewy,"Dania, Florida, United States",Closed,For Profit,,,,,7.0,9.0,"Commerce and Shopping, Community and Lifestyle","E-Commerce, Pet, Retail",7.0,M&A,2017-04-04,125000000.0,USD,125000000.0,Series F,Series F,125000000.0,USD,125000000.0,451000000.0,USD,451000000.0,2.0,"52,989,139","67,764,215.5",484.0,141658226.0,USD,141658226.0,"BlackRock, Volition Capital, Verlinvest, Lone Pine Capital, Greenspring Associates"
1327,Apollo,"New York, New York, United States",Active,For Profit,63.0,37.0,3.0,29.0,,,"Financial Services, Lending and Investments, Real Estate","Asset Management, Credit, Finance, Financial Services, Real Estate",3.0,IPO,2018-03-20,300000000.0,USD,300000000.0,Post-IPO Equity,Post-IPO Equity,300000000.0,USD,300000000.0,399407641.0,USD,399407641.0,3.0,289.972,"228,695.83",419.0,148979088.0,USD,148979088.0,
